iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,population_population_number_of_people,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_treatment_recycling_percent
KNA,LCN,St. Kitts and Nevis,HIC,25569.357421875,27.2,8.1,8.8,12.2,20.5,23.2,Yes,Yes,Yes,No,54288,700.0,,32892.14,
KOR,EAS,"Korea, Rep.",HIC,42105.28125,30.0,2.5,2.6,,41.0,24.3,Yes,Yes,Yes,Yes,51606632,570635.0,,20452776.0,58.0
KWT,MEA,Kuwait,HIC,58810.30078125,45.0,4.0,2.0,8.0,20.0,20.0,No,Yes,Yes,,2998083,67000.0,203000.0,1750000.0,
LAO,EAS,Lao PDR,LMC,6543.6669921875,16.9,9.3,3.7,20.3,2.8,6.1,None,Yes,Yes,Yes,6663967,7500.0,5200.0,351900.0,10.0
LBN,MEA,Lebanon,UMC,16966.740234375,52.5,3.5,5.5,11.0,16.0,11.5,No,Yes,No,No,5603279,51000.0,46000.0,2040000.0,8.0
LBR,SSF,Liberia,LIC,1333.4222412109375,,,,,,,,Yes,Yes,Yes,3512932,,,564466.7,
LBY,MEA,Libya,UMC,8479.9462890625,70.1,3.1,4.3,3.8,5.5,7.5,No,Yes,No,,6193501,70000.0,,2147596.47175,
LCA,LCN,St. Lucia,UMC,14029.982421875,45.0,7.0,5.0,11.0,10.0,22.0,Yes,Yes,Yes,Yes,177206,1600.0,2732.0,77616.228,
LIE,ECS,Liechtenstein,HIC,45726.98828125,37.6,5.0,12.5,9.1,30.3,5.4,,Yes,Yes,No,36545,293.0,1204.0,32382.0,64.6
LKA,SAS,Sri Lanka,LMC,12287.47265625,62.0,2.0,3.0,13.0,7.0,7.0,Yes,Yes,Yes,No,21203000,72.5,,2631650.0,12.79
LSO,SSF,Lesotho,LMC,1978.6083984375,,,,,,,,,,,1965662,1800.0,,73457.0,
LTU,ECS,Lithuania,HIC,37278.3046875,40.4,8.65,2.75,44.05,10.05,10.15,No,Yes,Yes,Yes,2786844,82691.0,165477.0,1315390.375,22.92
LUX,ECS,Luxembourg,HIC,114323.40625,30.0,4.0,2.0,27.0,19.0,18.0,Yes,Yes,Yes,No,619896,7398.0,237180.0,490337.75,28.37
LVA,ECS,Latvia,HIC,30982.173828125,46.7,21.4,2.6,9.7,6.1,7.7,,Yes,Yes,Yes,1912789,25071.0,104142.0,839714.375,21.23
MAC,EAS,"Macao SAR, China",HIC,117335.5859375,3.1,3.3,1.7,3.1,58.7,7.9,Yes,Yes,Yes,Yes,612167,11000.0,3118.0,377942.0,20.0
MAF,LCN,St. Martin (French part),HIC,30385.89453125,,,,,,,,,Yes,Yes,30959,,,15479.5,
MAR,MEA,Morocco,LMC,6915.10302734375,60.0,2.0,2.5,6.0,9.0,8.0,No,No,Yes,Yes,34318080,30300.0,289385.0,6852000.0,8.0
MCO,ECS,Monaco,HIC,43711.80078125,,3.0,2.2,,2.2,1.0,Yes,Yes,Yes,Yes,37783,,312.07,46000.0,5.4
MDA,ECS,Moldova,LMC,10360.830078125,55.0,4.0,3.0,23.0,5.0,10.0,No,Yes,Yes,Yes,3554108,6300.0,418.0,3981200.0,15.32
MDG,SSF,Madagascar,LIC,1565.866943359375,,,,,,,,,Yes,Yes,24894552,14000.0,45957.0,3768759.16,
MDV,SAS,Maldives,UMC,17284.609375,24.0,,1.0,1.0,6.0,3.0,No,Yes,Yes,No,409163,3003.95,15105.525,211505.78,
MEX,LCN,Mexico,UMC,19332.07421875,52.4,5.9,3.4,12.1,13.8,10.9,Yes,,Yes,Yes,125890952,957900.0,18172.49,53100000.0,5.0
MHL,EAS,Marshall Islands,UMC,3628.895263671875,8.0,2.0,6.0,31.0,11.0,13.0,,Yes,Yes,None,52793,,,8614.0,30.8
MKD,ECS,"Macedonia, FYR",UMC,16147.7294921875,29.3,4.1,2.5,19.8,12.8,13.900000000000002,Yes,Yes,Yes,Yes,2082958,1220.0,40797.0,626970.375,0.18
MLI,SSF,Mali,LIC,2007.8060302734373,17.5,1.0,3.5,72.5,3.5,2.0,,,,Yes,16006670,12000.0,,1937354.44,
MLT,MEA,Malta,HIC,43707.5390625,52.0,6.0,4.0,9.5,18.0,12.0,Yes,Yes,Yes,Yes,502653,7643.0,36523.0,348841.1875,6.69
MMR,EAS,Myanmar,LMC,1093.7880859375,,,,,,,,Yes,Yes,Yes,46095464,55000.0,,4677306.52914,
MNE,ECS,Montenegro,UMC,20752.62109375,33.82,8.97,2.9,19.46,13.72,18.42,Yes,Yes,Yes,No,622227,6200.0,3819.21,329780.3125,5.42
MNG,EAS,Mongolia,LMC,10940.4150390625,22.7,,,50.1,12.7,14.5,,,Yes,Yes,3027398,14000.0,,2900000.0,
MNP,EAS,Northern Mariana Islands,HIC,60955.7265625,43.6,5.5,10.0,9.3,10.9,16.5,,Yes,Yes,,54036,,,32761.4145,36.0
MOZ,SSF,Mozambique,LIC,1217.0902099609375,60.0,,,15.0,25.0,,,Yes,Yes,,27212382,17000.0,,2500000.0,1.0
MRT,SSF,Mauritania,LMC,4783.6357421875,4.8,4.0,4.2,59.7,7.3,20.0,,,Yes,No,3506288,5100.0,,454000.0,8.0
MUS,SSF,Mauritius,UMC,20646.93359375,64.0,2.8,,8.0,13.0,12.4,,,Yes,Yes,1263473,11000.0,17000.0,438000.0,
MWI,SSF,Malawi,LIC,999.4413452148435,,,,,,,,,,,16577147,9500.0,,1297844.48,
MYS,EAS,Malaysia,UMC,23906.265625,46.0,3.0,3.0,9.0,14.0,15.0,No,Yes,Yes,Yes,30228016,280000.0,2918478.0,12982685.0,17.5
NAM,SSF,Namibia,UMC,6152.9873046875,,,,,,,,,,,1559983,14000.0,,256729.0,4.5
NCL,EAS,New Caledonia,HIC,57330.203125,43.6,5.5,10.0,9.3,10.9,16.5,,,Yes,,278000,,,108157.384,
NER,SSF,Niger,LIC,1038.22412109375,38.0,,1.0,57.0,2.0,2.0,,,Yes,Yes,8842415,7900.0,554000.0,1865645.67,4.0
NGA,SSF,Nigeria,LMC,4690.37939453125,,3.1,,11.3,8.0,4.8,,,Yes,Yes,154402176,277000.0,,27614830.07185,
NIC,LCN,Nicaragua,LMC,4611.84033203125,,,,,,,,,Yes,,5737723,10800.0,2837.0,1528816.29335,
NLD,ECS,Netherlands,HIC,56849.375,35.0,5.4,4.3,20.24,21.0,14.0,Yes,Yes,Yes,No,17332850,534410.0,4830495.0,8805088.0,24.61
NOR,ECS,Norway,HIC,64962.26171875,15.49,4.6,6.12,13.15,26.57,2.25,Yes,Yes,Yes,Yes,5347896,150000.0,1482000.0,4149967.25,26.16
NPL,SAS,Nepal,LIC,2902.249267578125,52.39,4.36,1.9,7.12,18.21,15.14,,Yes,Yes,Yes,28982772,23000.0,5051.0,1768977.49,
NRU,EAS,Nauru,UMC,11167.3193359375,43.6,5.5,10.0,9.3,10.9,16.5,,Yes,Yes,No,13049,,,6191.7505,
NZL,EAS,New Zealand,HIC,41857.4765625,28.0,4.0,4.5,37.0,7.0,8.0,Yes,Yes,Yes,Yes,4692700,95000.0,,3405000.0,
OMN,MEA,Oman,HIC,30535.833984375,27.0,6.0,,24.0,15.0,21.0,No,Yes,Yes,Yes,3960925,59000.0,1469835.0,1734885.15,
PAK,SAS,Pakistan,LMC,4571.41455078125,30.0,6.0,4.0,20.0,13.0,9.0,No,Yes,No,Yes,193203472,301000.0,1538000.0,30760000.0,8.0
PAN,LCN,Panama,HIC,28436.359375,46.4,5.8,3.8,5.7,26.3,12.0,,,Yes,,3969249,3200.0,,1472262.2151499998,
PER,LCN,Peru,UMC,11877.083984375,50.43,3.05,2.64,21.7,7.44,10.52,Yes,Yes,Yes,Yes,30973354,182000.0,660180.17927,8356711.13,4.0
PHL,EAS,Philippines,LMC,7705.04541015625,52.31,2.34,4.22,21.52,8.7,10.55,Yes,Yes,Yes,Yes,103320224,290000.0,4332222.32,14631922.9,28.0
PLW,EAS,Palau,HIC,18275.025390625,26.0,5.0,10.0,9.0,15.0,32.0,None,None,Yes,None,21503,200.0,,9426.7455,
PNG,EAS,Papua New Guinea,LMC,3912.381103515625,31.0,,,42.0,16.6,10.0,None,Yes,Yes,Yes,7755785,7000.0,,1000000.0,2.0
POL,ECS,Poland,HIC,33221.54296875,37.27,10.07,2.17,26.69,11.27,12.13,,Yes,Yes,Yes,37970872,224452.0,1679051.0,12758213.0,26.39
PRI,LCN,Puerto Rico,HIC,34311.03125,13.1,2.4,10.4,23.8,19.4,10.4,,Yes,Yes,Yes,3473181,946.44,4.92,4170953.0,14.0
PRT,ECS,Portugal,HIC,34961.9453125,36.49,6.73,1.85,27.680000000000003,13.64,10.72,Yes,Yes,Yes,Yes,10269417,170078.0,701228.0,5268211.0,16.23
PRY,LCN,Paraguay,UMC,11810.427734375,,,,,,,,,Yes,,6639119,34200.0,,1818501.3648,
PSE,MEA,West Bank and Gaza,LMC,5985.68310546875,59.1,2.4,2.7,11.5,10.1,14.2,Yes,Yes,Yes,,4046901,,62621.0,1387000.0,0.5
PYF,EAS,French Polynesia,HIC,60955.7265625,47.0,3.0,3.0,29.0,16.0,2.0,,Yes,No,No,273528,,,147000.0,39.0
QAT,MEA,Qatar,HIC,96261.6640625,57.0,4.0,9.0,5.0,11.0,14.0,Yes,Yes,Yes,,2109568,29000.0,105000.0,1000990.016,3.0
ROU,ECS,Romania,UMC,29983.556640625,56.26,4.89,2.5,10.68,11.34,12.33,Yes,Yes,Yes,Yes,19356544,132268.0,590300.0,5419832.5,5.67
RUS,ECS,Russian Federation,UMC,26012.849609375,28.41,16.82,1.83,19.03,19.7,14.21,Yes,Yes,Yes,Yes,143201680,1392000.0,110000000.0,60000000.0,4.5
RWA,SSF,Rwanda,LIC,1950.528076171875,,,,,,,,,,,11917508,5900.0,,4384969.0,
SAU,MEA,Saudi Arabia,HIC,48921.23046875,45.5,4.0,5.0,2.5,27.0,11.0,Yes,Yes,yes,,31557144,508000.0,697000.0,16125700.584,15.0
SDN,SSF,Sudan,LMC,4191.8232421875,51.4,3.5,1.7,18.9,11.8,12.7,,,,,38647804,51000.0,,2831291.0,
SEN,SSF,Senegal,LIC,3067.66259765625,12.0,2.0,2.0,68.0,5.0,9.0,No,No,Yes,Yes,15411614,15000.0,,2454059.25,
SGP,EAS,Singapore,HIC,97341.46875,10.51,0.93,19.12,32.3,14.86,10.58,Yes,Yes,Yes,Yes,5703600,100000.0,446870.0,1870000.0,61.0
SLB,EAS,Solomon Islands,LMC,2596.452880859375,42.8,6.65,13.15,3.7,6.45,22.35,No,Yes,Yes,No,563513,400.0,,179971.964375,
SLE,SSF,Sierra Leone,LIC,1237.6302490234375,,,,,,,,,,,5439695,3400.0,,610222.09,
SLV,LCN,El Salvador,LMC,7328.71337890625,65.0,4.0,2.0,7.0,12.0,10.0,,Yes,Yes,Yes,6164626,30100.0,16465.0,1648996.18,
SMR,ECS,San Marino,HIC,58806.19921875,5.35,5.61,0.9,65.56,13.21,5.6,,,,,33203,,,17174.68,45.05
SOM,SSF,Somalia,LIC,1862.6141357421875,,,,,,,,,,,14317996,,,2326099.17,
SRB,ECS,Serbia,UMC,18351.2734375,37.62,5.44,1.38,16.72,13.57,12.73,Yes,Yes,Yes,Yes,6944975,14388.0,13475026.0,2347401.5,0.76
SSD,SSF,South Sudan,LIC,1795.991943359375,,,,,,,,,,,11177490,,,2680681.0,
STP,SSF,São Tomé and Príncipe,LMC,3720.786865234375,,,,,,,,,,,191266,200.0,,25586.5,
SUR,LCN,Suriname,UMC,16953.802734375,57.0,3.0,3.0,24.0,,11.0,No,No,No,No,526103,5000.0,,78619.79914999999,
SVK,ECS,Slovak Republic,HIC,31965.76171875,42.0,19.0,2.0,1.0,25.0,11.0,Yes,Yes,Yes,Yes,5454073,30911.0,375688.0,2296164.75,7.62
SVN,ECS,Slovenia,HIC,39037.93359375,,,,,,,,Yes,Yes,,2087946,26359.0,155229.0,1052324.75,46.44
SWE,ECS,Sweden,HIC,52608.7109375,23.34,9.15,9.2,,36.4,6.58,Yes,Yes,Yes,,10285453,721671.0,2568154.0,4618168.5,32.37
SWZ,SSF,Eswatini,LMC,8321.1064453125,,,,,,,,,,,1343098,5700.0,,218199.47,
SXM,LCN,Sint Maarten (Dutch part),HIC,,46.0,7.0,7.0,12.0,15.0,13.0,,Yes,Yes,,37685,,,,
SYC,SSF,Seychelles,HIC,23302.953125,48.5,5.2,4.6,25.800000000000004,5.9,9.9,,Yes,Yes,Yes,88303,1100.0,,48000.0,
SYR,MEA,Syrian Arab Republic,LIC,8587.05078125,57.0,3.0,4.0,22.0,7.0,7.0,,Yes,Yes,,20824892,,68000.0,4500000.0,2.5
TCA,LCN,Turks and Caicos Islands,HIC,28174.482421875,21.8,20.5,7.6,2.4,31.5,16.3,,,Yes,Yes,34900,,,,
TCD,SSF,Chad,LIC,1732.6912841796875,70.0,1.0,2.0,18.0,3.0,6.0,,,,,11887202,8800.0,,1358850.53,
TGO,SSF,Togo,LIC,1404.1329345703125,38.0,2.0,4.0,42.0,4.0,10.0,,Yes,Yes,No,7228915,6400.0,1900.0,1109030.45,2.0
THA,EAS,Thailand,UMC,16301.5380859375,65.52,3.04,1.85,4.74,7.6,17.59,,Yes,Yes,Yes,68657600,384233.0,3445000.0,26853366.0,19.1
TJK,ECS,Tajikistan,LIC,2616.4755859375,,,,,,,No,Yes,Yes,Yes,8177809,,,1787400.0,
TKM,ECS,Turkmenistan,UMC,11471.1865234375,16.18,4.64,11.44,62.540000000000006,,2.19,No,Yes,Yes,Yes,5366277,22000.0,1000.0,500000.0,
TLS,EAS,Timor-Leste,LMC,3344.57373046875,43.6,5.5,10.0,9.3,10.9,16.5,,Yes,Yes,Yes,1268671,3600.0,,63875.0,
TON,EAS,Tonga,UMC,5636.41845703125,51.3,5.9,9.0,8.9,7.4,13.4,,Yes,Yes,Yes,104951,300.0,,17238.20175,
TTO,LCN,Trinidad and Tobago,HIC,28910.908203125,27.15,10.15,3.74,17.19,22.6,19.17,Yes,Yes,Yes,Yes,1328100,71.07,123914.1,727874.0,
TUN,MEA,Tunisia,LMC,10505.2626953125,68.0,2.0,4.0,5.0,10.0,11.0,Yes,Yes,Yes,Yes,11143908,90000.0,150000.0,2700000.0,4.0
TUR,ECS,Turkey,UMC,28289.087890625,64.0,2.0,1.0,24.0,6.0,3.0,,Yes,Yes,Yes,83429616,623000.0,3432426.0,35374156.0,
TUV,EAS,Tuvalu,UMC,3793.127685546875,43.6,5.5,10.0,9.3,10.9,16.5,None,Yes,Yes,None,11097,10.0,,3989.4865,15.0
TWN,EAS,,HIC,57362.92578125,23.34,4.11,3.07,14.11,30.01,20.23,,,Yes,Yes,23434000,14036.0,,7336000.0,
TZA,SSF,Tanzania,LIC,2128.553955078125,,,,,,,,,Yes,,49082996,38000.0,,9276995.0,
UGA,SSF,Uganda,LIC,1972.3017578125,74.5,0.8,0.6,10.6,6.0,7.6,,,,,35093648,25000.0,,7045049.836,6.0
UKR,ECS,Ukraine,LMC,11534.6376953125,37.0,5.0,4.0,22.0,25.0,7.0,Yes,Yes,Yes,Yes,45004644,277000.0,448000000.0,15242025.0,3.2
URY,LCN,Uruguay,HIC,20588.392578125,53.5,3.0,5.0,7.5,20.0,11.0,No,Yes,Yes,Yes,3431552,37000.0,,1260139.5086500002,8.0
USA,NAC,United States,HIC,61498.37109375,14.9,4.4,9.0,3.2,26.6,12.9,Yes,Yes,Yes,Yes,326687488,2440000.0,28800000.0,265224528.0,34.6
UZB,ECS,Uzbekistan,LMC,5164.2744140625,40.0,3.0,2.0,17.5,17.5,2.5,No,Yes,Yes,Yes,29774500,,,4000000.0,
VCT,LCN,St. Vincent and the Grenadines,UMC,11971.9931640625,49.6,5.6,3.8,10.5,22.1,8.4,Yes,Yes,Yes,No,109455,900.0,,31561.34925,
VEN,LCN,"Venezuela, RB",UMC,14269.673828125,,,,,,,,No,Yes,,29893080,232700.0,123157.0,9779093.14,
VGB,LCN,British Virgin Islands,HIC,24215.8828125,6.5,18.1,8.6,4.8,33.5,6.3,Yes,Yes,Yes,Yes,20645,,,21099.19,
VIR,LCN,Virgin Islands (U.S.),HIC,30436.564453125,46.0,7.0,7.0,12.0,15.0,13.0,,Yes,Yes,Yes,105784,,,146500.0,
VNM,EAS,Vietnam,LMC,5089.4111328125,61.9,2.18,0.58,15.18,5.2,12.15,No,Yes,Yes,Yes,86932496,141000.0,2995153.5,9570300.0,23.0
VUT,EAS,Vanuatu,LMC,3061.787353515625,73.4,5.4,3.8,5.7,4.05,6.45,,Yes,Yes,Yes,270402,300.0,,70225.489,37.0
WSM,EAS,Samoa,UMC,6210.9833984375,42.6,2.2,8.8,19.4,7.2,13.0,,Yes,Yes,Yes,187665,500.0,,27399.09,36.0
XKX,ECS,Kosovo,LMC,9723.5615234375,42.0,6.0,6.0,20.0,8.0,11.0,Yes,Yes,Yes,Yes,1801800,23.0,495.0,319000.0,
YEM,MEA,"Yemen, Rep.",LIC,8269.671875,65.0,1.0,6.0,6.0,7.0,10.0,No,Yes,Yes,No,27584212,42000.0,21000.0,4836820.0,8.0
ZAF,SSF,South Africa,UMC,12666.607421875,16.381654627302726,5.200216370472019,16.9104608968452,45.02064556592234,9.396918237794267,7.090104301663434,Yes,Yes,Yes,,51729344,321000.0,1319096.0,18457232.0,28.0
ZMB,SSF,Zambia,LMC,3201.289306640625,,,,,,,,,Yes,,14264756,15000.0,80000.0,2608268.0,
ZWE,SSF,Zimbabwe,LIC,3190.506591796875,36.0,5.0,6.0,3.0,27.0,23.0,,,Yes,,12500525,13000.0,37346.0,1449752.0,16.0
