iso3c;region_id;country_name;income_id;city_name;composition_food_organic_waste_percent;composition_glass_percent;composition_metal_percent;composition_other_percent;composition_paper_cardboard_percent;composition_plastic_percent;composition_rubber_leather_percent;composition_wood_percent;composition_yard_garden_green_waste_percent;institutional_framework_department_dedicated_to_solid_waste_management_na;institutional_framework_environmental_assessment_for_solid_waste_management_in_the_past_5_years_na;institutional_framework_information_system_for_solid_waste_management_na;institutional_framework_performed_a_social_assessment_for_solid_waste_management_in_the_past_5_years_na;institutional_framework_unit_enforcing_solid_waste_issues_in_the_city_such_as_illegal_dumping_or_littering_na;legal_framework_long_term_integrated_solid_waste_master_plan_na;legal_framework_master_plan_is_being_implemented_na;legal_framework_solid_waste_management_rules_and_regulations_na;n_waste_pickers_number_of_waste_pickers_number_of_people;percent_informal_sector_percent_collected_by_informal_sector_percent;population_population_number_of_people;primary_collection_mode_form_of_primary_collection_na;separation_breakdonw_cans_and_metals_na;separation_breakdonw_glass_na;separation_breakdonw_organics_na;separation_breakdonw_other_na;separation_breakdonw_paper_cardboard_na;separation_breakdonw_plastics_and_packaging_na;separation_existence_of_source_separation_na;subisidies_other_subsidies_or_transfers_na;subisidies_subsidies_or_transfers_from_a_central_government_authority_na;total_msw_total_msw_generated_tons_year;transportation_distance_from_city_center_to_main_landfill_or_dumpsite_km;transportation_transfer_station_or_colletion_point_aggregation_na;transportation_transfer_stations_operational_number;transportation_transfer_stations_operational_na;transportation_trips_per_year_na;transportation_trips_per_year_trips_year;waste_treatment_advanced_thermal_treatment_percent;waste_treatment_anaerobic_digestion_percent;waste_treatment_compost_percent;waste_treatment_controlled_landfill_percent;waste_treatment_incineration_percent;waste_treatment_landfill_unspecified_percent;waste_treatment_open_dump_percent;waste_treatment_other_percent;waste_treatment_recycling_percent;waste_treatment_sanitary_landfill_landfill_gas_system_percent;waste_treatment_unaccounted_for_percent;waste_treatment_waterways_marine_percent
AFG;SAS;Afghanistan;LIC;Jalalabad;1.0455;1.1175;0.0175;84.854;0.08;5.6455;4.9425;0.156;2.1395;Yes;;No;;;No;No;Yes;;10.0;326585.0;Door-to-door collection;No;No;No;;No;No;No;;;58914.45;;;;;;;;;;;;;100;;;;;
AFG;SAS;Afghanistan;LIC;Kandahar;11.6;2.311;0.169;64.364;1.499;9.643;5.929;;4.49;Yes;;No;;;No;No;Yes;;;429000.0;Centralized drop-off point;No;No;No;;No;No;No;;;120971;;;;;;;;;;;;;100;;;;;
AFG;SAS;Afghanistan;LIC;Mazar-E-Sharif;50.5;1.32;0.32;28.87;1.69;10.64;3.41;0.18;2.87;Yes;;No;;;No;No;Yes;;;635250.0;Centralized drop-off point;No;No;No;;No;No;No;;;52368.4;;;;;;;;;;;;;100;;;;;
AFG;SAS;Afghanistan;LIC;Kabul;13.5;1;0.5;63;5.0;11;;1;4.0;;;;;;No;No;Yes;1000.0;5.0;3700000.0;Centralized drop-off point;;;;;;;;;;1989250;80;;;0;;401500;;;;;;;75;;;;25;
AFG;SAS;Afghanistan;LIC;Hirat;52.94;1.47;0.23;23.05;3.67;12.06;5.39;0.54;0.64;Yes;;No;;;No;No;Yes;;29.0;337000.0;Door-to-door collection;No;No;No;;No;No;No;;;91644.7;;;;;;;;;;;;;100;;;;;
AGO;SSF;Angola;LMC;Luanda;21;6;3;43;11.0;12;;1;3.0;;;;;;;;;;;4508000.0;;;;;;;;;;;1316336;20;;;;;;;;;;;;;;;;;
ALB;ECS;Albania;UMC;Korca;37;2;2;37;11.0;11;;;;Yes;No;Yes;No;No;No;No;Yes;;;51152.0;Curbside collection;No;No;No;No;No;No;No;;;21000;7;;;;;;;;;100;;;;;;;;
ALB;ECS;Albania;UMC;Vlora;40.42;4.47;0.99;24.08;18.94;11.1;;;;Yes;No;Yes;No;No;No;No;Yes;;;79513.0;Curbside collection;No;No;No;No;No;No;No;380000.0;;37955;7;;;;;;;;;;;;90;;10.0;;;
ARE;MEA;United Arab Emirates;HIC;Abu Dhabi;39;4;3;10;25.0;19;;;;Yes;;;;Yes;yes;yes;yes;;;1145000.0;Curbside collection;;;;;;;No;;;1033543;;;6.0;;;;;;9;;;9.0;62;;20.0;;;
ARE;MEA;United Arab Emirates;HIC;Dubai;35.42;3.42;2.37;7.55;24.29;24.23;1.67;0.98;;Yes;;;;;Yes;Yes;Yes;;;2415000.0;Curbside;;;;;;;;;;2689808;;;;;;3,65E+05;;;;;;;;;25.0;75.0;;
ARG;LCN;Argentina;HIC;C贸rdoba;35;3;2;15;13.0;14;;;18.0;;;;;;;;;;;1329604.0;Multiple;Yes;Yes;No;;Yes;Yes;Yes;;;488735;;;;;;;;;;69.32;;;30;;0.68;;;
ARG;LCN;Argentina;HIC;Rosario;58.38;4.93;1.4;11.31;13.55;11.68;;;;;;;;;Yes;;Yes;2000.0;;1193605.0;Multiple;Yes;;No;;Yes;Yes;Yes;;;438730;30;;1.0;;;;;;15.2;;;;;;;89.19;;
ARG;LCN;Argentina;HIC;Ciudada Aut贸noma De Buenos Aires (Caba).;38;6;2;18;16.0;16;;;4.0;Yes;;Yes;;;No;;Yes;9455.0;;2981781.0;Multiple;Yes;Yes;No;Yes;Yes;Yes;Yes;;;2532005;;;3.0;;;;;;;;;;;14.42;7.2;61.5;16.88;
ARM;ECS;Armenia;UMC;Vanadzor;28;6;3.75;34.5;10.0;15.75;2;;;No;No;No;Yes;No;No;No;No;10.0;0.17;86199.0;Curbside collection;No;No;No;No;No;No;No;;;23596.97;13;;;0;;9540;;;;;;;90;;;;10;
ARM;ECS;Armenia;UMC;Spitak;29.5;6.75;4;42.75;4.5;9.75;2.75;;;No;No;No;Yes;No;No;No;No;;;12881.0;Curbside collection;No;No;No;No;No;No;No;;;2866;4;;;;;;;;;;;;93.16;;;;6.84;
ASM;EAS;American Samoa;UMC;Pago Pago;19.7;3.4;7.9;25.6;26.4;12.8;4.2;;;Yes;;;;;;;Yes;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;
AUS;EAS;Australia;HIC;Perth;40.1;6.8;3.5;22;15.2;8.2;;2;2.5;Yes;;Yes;;;Yes;Yes;Yes;;;20359.0;Curbside collection;Yes;Yes;Yes;;Yes;Yes;;;;;35;;;;;;;;;;;;;;18.0;;;
AUS;EAS;Australia;HIC;Melbourne;68.21;3;;1;11.44;15.33;;;1.03;Yes;;Yes;;;Yes;Yes;Yes;;;4203000.0;Curbside collection;;;;;;;;;;;;;;;;;;;;74.19;;;;;25.81;;;
AUS;EAS;Australia;HIC;Canberra;47;7;5;15;22.0;4;;;;Yes;Yes;Yes;;;Yes;Yes;Yes;;;353626.0;Curbside collection;Yes;Yes;Yes;;Yes;Yes;;;;350000;;;;;;;;;;28;;;;;70.0;;2;
AUT;ECS;Austria;HIC;Vienna;31.4;8.3;3.6;16.8;37.0;2.9;;;;Yes;;;;;;;Yes;;;1741246.0;Door-to-door collection: waste collector knocks on door or rings doorbell and waits for resident to bring waste.;Yes;Yes;Yes;;Yes;Yes;Yes;;;1036879;;;;;;;;;;;;;;;;;;
AZE;ECS;Azerbaijan;UMC;Baku;41.7;6.4;1.5;20.6;18.1;10.4;;1.4;;Yes;;;;;Yes;Yes;;;;2374000.0;Curbside collection;No;No;No;No;No;No;;;;1965922;;;;;;134702;;;;;24.21;;;;;36.36;49.22;
BDI;SSF;Burundi;LIC;Muyinga;;;;;;;;;;;;;;;;;;;;632409.0;;;;;;;;;;;5657.5;;;;;;;;;;;;;100;;;;;
BDI;SSF;Burundi;LIC;Kayanza;;;;;;;;;;;;;;;;;;;;585412.0;;;;;;;;;;;4015;;;;;;;;;;;;;;;;;;
BDI;SSF;Burundi;LIC;Ngozi;;;;;;;;;;;;;;;;;;;;39884.0;;;;;;;;;;;6752.5;;;;;;;;;;;;;100;;;;;
BDI;SSF;Burundi;LIC;Bujumbura;;;;;;;;;;No;;No;;;No;No;No;;;412000.0;Door-to-door collection;;;;;;;;;;210532;;;;;;;;;;;;;100;;;;;
BEL;ECS;Belgium;HIC;Brussels;;22;;20;35.0;11;;;12.0;Yes;Yes;;Yes;Yes;Yes;Yes;;;;1154635.0;Other;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;469559;;;;;;;;;;;;;;;;;;
BEL;ECS;Belgium;HIC;Liege;;;;;;;;;;;Yes;Yes;Yes;;Yes;Yes;;;;1020579.0;Other;Yes;Yes;;;Yes;Yes;Yes;;;525300;;;;;;;;3;14;;26;;;;53.0;4.0;;
BEN;SSF;Benin;LIC;Porto Novo;;;;;;;;;;;;;;;;;;;;600000.0;;;;;;;;;;;109500;;;;;;;;;;;;;;;;;;
BEN;SSF;Benin;LIC;Cotonou;58.24;0.86;1.13;29.62;3.96;4.43;0.22;1.54;;;;;;;;;;;;642000.0;Door-to-door collection;;;;;;;;;;258420;;;;;;;;;;;;;;;;;;
BFA;SSF;Burkina Faso;LIC;Bobo Dioulasso;;;;;;;;;;;;;;;;;;;;365000.0;;;;;;;;;;;90000;;;;;;;;;;;;;;;;;;
BFA;SSF;Burkina Faso;LIC;Ouagadougou;39;3;4;35;9.0;10;;;;Yes;;No;;No;Yes;Yes;Yes;;;1328000.0;Door-to-door collection: waste collector knocks on door or rings doorbell and waits for resident to bring waste.;Yes;Yes;Yes;;Yes;Yes;Yes;;;315068;10;;26.0;;;;;;;;;;;;;;;
BGD;SAS;Bangladesh;LMC;Patuakhali;84.37;0.63;0.4;5.95;3.1;2.89;1.06;0;1.61;Yes;No;No;No;No;No;;No;;4.55;65000.0;Centralized drop-off point;No;No;;;No;No;No;;;5220;;;27.0;;;2190;;;;;;;55.45;;4.55;;40;
BGD;SAS;Bangladesh;LMC;Chittagong;79.03;0.22;1.04;6.08;3.6;7.21;2.09;0;0.72;Yes;No;No;No;No;No;;No;300.0;12.41;2581643.0;Door-to-door collection;No;No;;;No;No;No;;;320380;;;76.0;;;39785;;;0.42;;;;29.17;;12.41;;58;
BGD;SAS;Bangladesh;LMC;Rangpur;76.68;0.59;0.5;12.74;2.81;4.55;0.74;0;1.41;Yes;No;No;No;No;No;;No;15.0;4.84;294265.0;Centralized drop-off point;No;No;;;No;No;No;;;25992;;;;40;;4745;;;;;;;27.16;;4.84;;68;
BGD;SAS;Bangladesh;LMC;Dhaka;78.87;4.085;4.085;4.57;4.29;4.1;;;;Yes;No;No;No;No;No;;No;120000.0;;5700000.0;Door-to-door collection;No;No;;;No;No;No;;;1424689;10;;;;;239440;;;;;;;43.5;43.0;13.5;;;
BGD;SAS;Bangladesh;LMC;Rajshahi;81.96;0.3;0.04;9.91;2.64;4.05;0.42;;0.66;Yes;No;No;No;No;No;;No;20.0;4.71;448087.0;Door-to-door collection;No;No;;;No;No;No;;;40069.699999999997;8;;;18;;9125;;;;;;;67.29;;4.71;;28;
BGR;ECS;Bulgaria;UMC;Ruse;;;;;;;;;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;144936.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BGR;ECS;Bulgaria;UMC;Burgas;;;;;;;;;;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;202766.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BHR;MEA;Bahrain;HIC;Manama;;;;;;;;;;Yes;;;;;Yes;Yes;Yes;;;411000.0;Curbside collection;;;;;;;No;;;;;;;;;;;;;;;;;;;;;
BIH;ECS;Bosnia and Herzegovina;UMC;Banja Luka;34.2;4.9;6.6;16.3;10.8;22.3;0.9;4.1;;Yes;No;No;No;Yes;No;No;Yes;;;180053.0;Centralized drop-off point;;;;;;;No;;;65941;13;;;0;;;;;;;;;;;;100.0;;
BIH;ECS;Bosnia and Herzegovina;UMC;Sarajevo;15;14;;51;17.0;2.5;;;;Yes;No;No;No;Yes;Yes;Yes;Yes;;;318000.0;Centralized drop-off point;Yes;No;No;Yes;Yes;Yes;Yes;1181284.0;;146280;5;;;0;;;;;;;;;;;;;;
BLR;ECS;Belarus;UMC;Minsk;32.13;5.88;4.23;35;6.9;10.12;1.75;3.23;1.0;;;Yes;;Yes;;Yes;Yes;;;1915000.0;Centralized drop-off point;No;Yes;No;;Yes;Yes;Yes;;;1135421;18;;;;;150200;;;;;;;;;;97.0;3;
BLR;ECS;Belarus;UMC;Grodno;23.8;14.6;2.6;44.3;4.6;8.6;0.6;0.9;;Yes;;Yes;;Yes;Yes;;Yes;;;340000.0;Multiple;No;Yes;No;No;Yes;Yes;Yes;411236.0;;147500;21;;;;;36650;;;;99.4;;;;;0.6;;;
BLZ;LCN;Belize;UMC;San Pedro;52;6;4;;13.0;13;;;12.0;;;;;;;;;;;14215.0;;;;;;;;;;;10166;;;1.0;;;;;;;;;;;;;57.6;42.4;
BLZ;LCN;Belize;UMC;Belize City;37;9;7;8;18.0;21;;;;Yes;;;;;;;No;;;68266.0;Centralized drop-off point;;;;;;;;;;32657;43;;1.0;;;;;;;;;;;;;65.0;35;
BOL;LCN;Bolivia;LMC;La Paz;47.3;2.6;1.4;20.7;12.8;15.2;;;;No;;;;;;;Yes;1288.0;4.0;840209.0;Multiple;;;;;;;;;0;202456.07;14;;;;;;;;1;;;;;;4.0;89.0;6;
BRA;LCN;Brazil;UMC;Distrito Federal, Brasilia;46.1;0.6;4.3;4.4;27.1;14.7;1.2;1.8;;Yes;;Yes;;;Yes;;Yes;2965.0;56.0;2977216.0;Multiple;Yes;Yes;Yes;;Yes;Yes;Yes;;;835480;15;;4.0;;;;;;;100;;;;;5.94;0.0;;
BRA;LCN;Brazil;UMC;Rio De Janeiro;52;3.5;1.67;6.3;14.97;21.15;;;;Yes;;Yes;;;Yes;;Yes;;;6453682.0;Door-to-door collection;;;;;;;Yes;;;3368499;;;5.0;;;;;;;6.3;;;0;;0.5;93.2;;
BRA;LCN;Brazil;UMC;Sao Paulo;47;1;2;22;16.0;10;1;;;Yes;;Yes;;;Yes;;Yes;20000.0;;11895893.0;Door-to-door collection;Yes;Yes;No;;Yes;Yes;Yes;;;4700000;;;3.0;;;;;;3;24;;;18;;;55.0;;
BTN;SAS;Bhutan;LMC;Phuentsholing;65.4;2.3;0.4;2.3;14.1;12.1;3.5;;;Yes;No;No;No;Yes;;;Yes;;;40000.0;Door-to-door collection;No;No;No;;No;No;No;;;6205;7.5;;;0;;4015;;;;;;;;;;100.0;;
BTN;SAS;Bhutan;LMC;Thimphu;50.5;3.7;0.5;4.2;24.6;13.5;3.1;;;Yes;No;No;No;Yes;;;;;;101990.0;Door-to-door collection;Yes;Yes;Yes;;Yes;Yes;Yes;;;18250;;;;0;;;;;8;;;;82;;5.0;;5;
BWA;SSF;Botswana;UMC;Gaborone;67.9;6.4;6.2;2.5;12.5;4.5;;;;;;;;;;;;;;210000.0;;;;;;;;;;;53655;;;;;;;;;;;;;;;;;;
CAN;NAC;Canada;HIC;Toronto;46.5;3.5;2.8;8.2;26.3;11;;;2.0;Yes;;Yes;;;Yes;Yes;Yes;;;2800000.0;Curbside collection;Yes;Yes;Yes;;Yes;Yes;Yes;;;942700;;;;7;;;;;3.74;52.08;;;;;47.91;;;
CAN;NAC;Canada;HIC;Ottawa;50.1;;;26.7;15.9;7.3;;;;Yes;;Yes;;;Yes;Yes;Yes;;;934243.0;Curbside collection;Yes;Yes;Yes;;Yes;Yes;Yes;;;325000;;;;;;;;;;;;;;;42.5;;;
CAN;NAC;Canada;HIC;Vancouver;43;2;3;18;17.0;17;;;;Yes;;;;;Yes;Yes;Yes;;;2465031.0;Curbside collection;Yes;Yes;Yes;;Yes;Yes;Yes;;;909519;;;;;;;;;;;;;;;;;;
CHE;ECS;Switzerland;HIC;Bern;;;;;;;;;;;;;;;;;;;;358000.0;;;;;;;;;;;59000;;;;;;;;;;;;;;;43.22;;;
CHE;ECS;Switzerland;HIC;Zurich;;;;;;;;;;;;;;;;;;;;1246000.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CHL;LCN;Chile;HIC;Santiago De Chile;49;4;1;16;12.0;10;;;13.0;Yes;;;;;;;;;;7007620.0;;;;;;;;;;;3072148;;;;;;;;;;1.2;;;;;;98.8;;
CHN;EAS;China;UMC;Beijing;63.4;1.6;0.3;6.6;11.1;12.7;2.5;1.8;;Yes;;;;;;;;200000.0;30.0;20384000.0;;;;;;;;;;;7903000;;;;;;;;;2;;8;;;;;90.0;;
CIV;SSF;Cte dIvoire;LMC;Abidjan;40;2;2;35;6.0;8;;;9.0;;;;;;;;Yes;1000.0;;4150000.0;Door-to-door collection;;;;;;;;;;1200000;;;;;;;;;;;;;;;;;;
CMR;SSF;Cameroon;LMC;Limbe;54.8;1.6;2.4;16.3;12.5;12.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CMR;SSF;Cameroon;LMC;Douala;;;;;;;;;;;;;;;;;;;;1490000.0;;;;;;;;;;;380695;;;;;;;;;;;;;;;;;;
CMR;SSF;Cameroon;LMC;Yaounde;;;;;;;;;;Yes;;;;;;;Yes;;;2349000.0;;;;;;;;;;;375303.95;;;;;;;;;;;;;;;;;;
CMR;SSF;Cameroon;LMC;Bafoussam;;;;;;;;;;;;;;;;;;;;193000.0;;;;;;;;;;;30000;;;;;;;;;;;;;;;;;;
COD;SSF;Congo, Dem. Rep.;LIC;Kinshasa;;;;;;;;;;Yes;;;;;;;Yes;;;11587000.0;;;;;;;;;;;2555000;;;;;;;;;;;;;10;;;;90;
COG;SSF;Congo, Rep.;LMC;Dolisie;73.9;2.1;1.9;9.9;6.0;6.2;;;;;;;;;;;Yes;;;95000.0;Door-to-door collection;;;;;;;;;1000000000;17550;;;;;;;;;;;;;;;;;;
COL;LCN;Colombia;UMC;Bogot谩;61.45;1.06;0.95;7.34;10.17;19.03;;;;Yes;;Yes;;;Yes;Yes;Yes;4843.0;;6840116.0;;;;;;;;Yes;;;1746890;;;;;;;;;;;;;;;17.0;83.0;;
COL;LCN;Colombia;UMC;Medellin;59.24;1.07;0.76;25.86;3.7;9.37;;;;;;;;;Yes;Yes;Yes;438.0;;2464322.0;Door-to-door collection;;;;;;;No;;;476455;57;;;;;;;;;;;;;;16.0;84.0;;
COL;LCN;Colombia;UMC;Cali;59;2.56;1.06;27.94;6.23;3.21;;;;;;;;;Yes;Yes;Yes;3258.0;;2224158.0;Other;;;;;;;Yes;;;669410;62;;1.0;;;;;;;;;;;;15.0;85.0;;
COM;SSF;Comoros;LIC;Moroni;;;;;;;;;;;;;;;Yes;;Yes;;;56000.0;Centralized drop-off point;;;;;;;;;;;;;;;;;;;;40;;;;;;;60;
CRI;LCN;Costa Rica;UMC;San Jos茅;55;2;2;20;11.0;10;;;;;;;;;Yes;;;500.0;;309673.0;Door-to-door collection;;;;;;;Yes;;;132405;;;;;;15979;;;;;;;;0.38;5.2;94.42;;
CRI;LCN;Costa Rica;UMC;Alajuela;51.1;0.9;1.1;26.8;7.5;12.6;;;;Yes;;;;;Yes;Yes;Yes;;;254886.0;Door-to-door collection;;;;;;;No;;;80901.440000000002;;;1.0;;;;;;;;;;;;0.42;100.0;;
CUB;LCN;Cuba;UMC;Havana;60;11;2;1;9.0;8;;;9.0;;;;;;;;Yes;;;2135747.0;Multiple;;;;;;;;;;545683.36;;;;;;;;;;97;;;;3.0;;;;
CYP;ECS;Cyprus;HIC;Paralimini;20;5;1;20;11.0;17;;;26.0;;;;;;;;;;;11836.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CYP;ECS;Cyprus;HIC;Nicosia;;;;;;;;;;Yes;;;;;;;;;;55014.0;;Yes;Yes;;;Yes;Yes;;;;36198;;;;;;;;;2.87;;;87.23;;;9.89;;0.01;
CZE;ECS;Czech Republic;HIC;Karlovy Vary;;;;;;;;;;;;;;;;;;;;299293.0;;;;;;;;;;;131539.26999999999;;;;;;;;;;;;;;;;;;
CZE;ECS;Czech Republic;HIC;Prague;;;;;;;;;;;;;;;;;;;;1243201.0;Other;;;;;;;;;;400900;;;;;;;;;;;;;;;;;;
DEU;ECS;Germany;HIC;Hamburg;21.49;4.27;6.53;32.79;25.75;1.6;;7.54;;Yes;;;;;Yes;Yes;Yes;;;1831000.0;Curbside collection;Yes;Yes;Yes;Yes;Yes;Yes;Yes;;;;;;;;;;;;;;;;;;;;;
DEU;ECS;Germany;HIC;Berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
