iso3c,region_id,country_name,income_id,gdp,composition_food_organic_waste_percent,composition_glass_percent,composition_metal_percent,composition_other_percent,composition_paper_cardboard_percent,composition_plastic_percent,other_information_information_system_for_solid_waste_management,other_information_national_agency_to_enforce_solid_waste_laws_and_regulations,other_information_national_law_governing_solid_waste_management_in_the_country,other_information_ppp_rules_and_regulations,population_population_number_of_people,special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year,total_msw_total_msw_generated_tons_year,waste_treatment_recycling_percent,measurement,units,year,source
ABW,LCN,Aruba,HIC,35563.3125,,,,,,,,Yes,Yes,Yes,103187,,,88132.0167,11.0,waste_treatment_recycling_percent,tonnes/year,2013.0,"PricewaterhouseCoopers Aruba. 2014. ""Environmental Sustainability Ranking: Determining and Fortifying Aruba’s Position in the Caribbean."" Version 1.1. PricewaterhouseCoopers Aruba. October 28. https://www.pwc.com/an/en/publications/assets/pwc-environmental-sustainability-ranking-positioning-and-fortifying-aruba-in-caribbean.pdf."
AFG,SAS,Afghanistan,LIC,2057.062255859375,,,,,,,,Yes,Yes,Yes,34656032,20000.0,,5628525.37,,special_waste_agricultural_waste_tons_year,tonnes/year,2009.0,"Milbrandt, Anelia, and Ralph Overend. 2011. ""Assessment of Biomass Resources in Afghanistan."" NREL (National Renewable Energy Laboratory). NREL/TP-6A20-49358. January."
AGO,SSF,Angola,LMC,8036.6904296875,51.8,6.7,4.4,11.5,11.9,13.5,,,Yes,Yes,25096150,92000.0,,4213643.585,,waste_collection_coverage_total_percent_of_waste,Percent of population,2011.0,"UNSD (United Nations Statistics Division). 2016a. ""Environmental Indicators: Waste. Municipal Waste Collected."" United Nations Statistics Division (UNSD), United Nations. November. http://unstats.un.org/unsd/ENVIRONMENT/qindicators.htm."
ALB,ECS,Albania,UMC,13724.05859375,51.4,4.5,4.8,15.21,9.9,9.6,No,Yes,Yes,Yes,2854191,20000.0,5714.82,1087446.75,,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2016.0,"Albania, INSTAT (Institute of Statistics). 2017. ""Urban and Insert Solid Wastes."" Institute of Statistics (INSTAT), Government of Albania. http://www.instat.gov.al/en/themes/environment-and-energy/environment/#tab2"
AND,ECS,Andorra,HIC,43711.80078125,31.2,8.2,2.6,11.6,35.1,11.3,,Yes,Yes,Yes,82431,,1788.0,43000.0,,waste_collection_coverage_total_percent_of_waste,Percent of population,2012.0,"UNSD (United Nations Statistics Division). 2016a. ""Environmental Indicators: Waste. Municipal Waste Collected."" United Nations Statistics Division (UNSD), United Nations. November. http://unstats.un.org/unsd/ENVIRONMENT/qindicators.htm."
ARE,MEA,United Arab Emirates,HIC,67119.1328125,39.0,4.0,3.0,10.0,25.0,19.0,Yes,Yes,,Yes,9770529,134000.0,57525.0,5617682.0,20.0,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Abu Dhabi SCAD (Statistics Centre Abu Dhabi). 2016. ""Waste Statistics 2015."""
ARG,LCN,Argentina,HIC,23550.099609375,38.74,3.16,1.84,15.36,13.96,14.61,Yes,,Yes,Yes,42981516,291700.0,310044.0,17910550.0,6.0,waste_treatment_controlled_landfill_percent,tonnes/year,2010.0,"Argentina SIDSA (System of Indicators of Sustainable Development). 2015. ""System of Indicators of Sustainable Development, Argentina."" 8th Edition. [SIDSA (Sistema de Indicadores de Desarrollo Sostenible). 2015. ""Sistema de Indicadores de Desarrollo Sostenible, Argentina"". Octava Edición.] ISBN 978-987-29340-8-8."
ARM,ECS,Armenia,UMC,11019.8388671875,57.0,3.2,3.4,17.4,6.7,11.4,No,No,Yes,No,2906220,14000.0,62270.0,492800.0,,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Armenia National Statistical Service. 2015. Accessed July 20, 2017. http://armstatbank.am/pxweb/en/ArmStatBank/ArmStatBank__8%20Environment%20and%20energy__Environment__(I)%20Waste/EE-i1-2-2015.px/table/tableViewLayout2/?rxid=002cc9e9-1bc8-4ae6-aaa3-40c0e377450a."
ASM,EAS,American Samoa,UMC,11113.4423828125,19.7,3.4,7.9,25.6,26.4,12.8,,Yes,,,55599,,,18989.49,,waste_collection_coverage_total_percent_of_waste,Percent of population,2014.0,"SPREP (Secretariat of the Pacific Regional Environment Programme). 2016. ""Cleaner Pacific 2025: Pacific Regional Waste and Pollution Management Strategy, 2016–2025."" Secretariat of the Pacific Regional Environment Programme, Apia, Samoa. https://sustainabledevelopment.un.org/content/documents/commitments/1326_7636_commitment_cleaner-pacific-strategy-2025.pdf."
ATG,LCN,Antigua and Barbuda,HIC,17965.501953125,46.0,7.0,7.0,12.0,15.0,13.0,No,Yes,Yes,No,96777,1100.0,,30585.0,,waste_treatment_compost_percent,tonnes/year,2011.0,"Antigua and Barbuda, Statistics Divison. 2014. ""Antigua and Barbuda 2011 Population and Housing Census– Book of Statistical Tables."" April."
AUS,EAS,Australia,HIC,47784.1796875,48.44,3.81,19.38,3.46,17.3,7.61,Yes,Yes,Yes,Yes,23789338,574000.0,7000000.0,13345000.0,42.1,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2015.0,"Australia, Department of the Environment and Energy. 2017. ""Australian National Waste Report 2016."" Department of the Environmentand Energy and Blue Environment Pty Ltd."
AUT,ECS,Austria,HIC,56029.61328125,31.4,7.0,4.4,18.5,19.7,11.1,,Yes,Yes,No,8877067,166174.0,1272288.0,5219715.5,25.66,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
AZE,ECS,Azerbaijan,UMC,14853.91015625,45.19,5.28,3.49,13.73,10.93,7.87,,Yes,Yes,No,9649341,63000.0,296979.4,2930349.0,,waste_collection_coverage_total_percent_of_waste,Percent of population,2015.0,"Azerbaijan, Ministry of Economy. 2017. ""National Solid Waste Manegement Strategy Plan: Volume I (Main Report)."" Aim Texas Trading, LLC – ICP Joint Venture, on behalf of Ministry of Economy, Government of Azerbaijan, Baku."
BDI,SSF,Burundi,LIC,839.7785034179686,81.0,2.9,2.1,3.2,7.3,3.5,,,,,6741569,5000.0,,1872016.0,,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
BEL,ECS,Belgium,HIC,51914.9140625,14.18,3.1,1.91,40.14,18.38,13.94,,Yes,Yes,No,11484055,603575.0,2946195.0,4765883.0,34.303,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
BEN,SSF,Benin,LIC,2227.352294921875,52.1,1.6,1.6,34.3,3.1,7.3,,,Yes,Yes,5521763,8200.0,,685936.01,25.0,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
BFA,SSF,Burkina Faso,LIC,1925.3311767578125,21.0,1.0,1.0,61.0,7.0,9.0,No,No,Yes,Yes,18110624,11000.0,7871.0,2575251.11,12.0,waste_collection_coverage_total_percent_of_waste,Percent of waste,2015.0,"Cissé, Sidi Mahamadou. 2015. Director of Sanitation, Government of Burkina Faso. Personal communication with the World Bank."
BGD,SAS,Bangladesh,LMC,3195.737060546875,80.57999999999998,0.44,0.5,8.59,3.04,4.67,No,Yes,Yes,Yes,155727056,142000.0,114358.0,14778497.33,,special_waste_agricultural_waste_tons_year,tonnes/year,2007.0,"Anon. 2010. ""Country Presentation Bangladesh."" 2nd Meeting of the Regional 3R Forum in Asia. Kuala Lumpur. October 4-6."
BGR,ECS,Bulgaria,UMC,22279.361328125,24.35,5.83,1.98,17.93,14.18,12.15,Yes,Yes,Yes,Yes,7025037,53785.0,12206169.0,2859190.0,19.03,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
BHR,MEA,Bahrain,HIC,47937.77734375,59.1,3.4,2.1,15.2,12.8,7.4,No,Yes,Yes,,1425171,20000.0,31000.0,951942.96945,8.0,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2009.0,"Al Sabbagh, Maram K., Costas A. Velis, David C. Wilson, and Christopher R. Cheeseman. 2012. ""Resource management performance in Bahrain: A systematic analysis of municipal waste management, secondary material flows and organizational aspects."" Waste Management and Research 30(8) 813– 824. http://journals.sagepub.com/doi/pdf/10.1177/0734242X12441962"
BHS,LCN,"Bahamas, The",HIC,35400.08203125,46.0,7.0,7.0,12.0,15.0,13.0,No,Yes,No,No,386838,4900.0,,264000.0,,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
BIH,ECS,Bosnia and Herzegovina,UMC,12671.0078125,,,,92.7,4.9,,No,No,No,Yes,3535961,1409.0,8408.0,1248718.0,0.00097,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2014.0,"Bosnia and Herzegovina. 2014. ""First release: Generated construction and demolition waste."""
BLR,ECS,Belarus,UMC,18307.51953125,30.0,8.0,2.0,35.0,5.0,12.0,Yes,Yes,Yes,Yes,9489616,72000.0,1336926.0,4280000.0,16.0,waste_treatment_controlled_landfill_percent,tonnes/year,2016.0,"Belarus, Ministry of Housing and Utility. 2017b. ""Report on sanitation of cities and populated areas for 2016."""
BLZ,LCN,Belize,UMC,7259.0244140625,47.0,8.0,5.0,5.0,16.0,19.0,Yes,Yes,Yes,,359288,2300.0,,101378.83030000002,,waste_collection_coverage_total_percent_of_waste,Percent of population,2010.0,"IDB-AIDIS-PAHO (Inter-American Development Bank, Inter-American Association of Sanitary and Environmental Engineering, and Pan American Health Organization). 2011. ""Report of the Regional Evalution of the Management of Municipal Solid Waste in Latin American and the Caribbean 2010"" [""Informe de la Evaluación Regional del Manejo de Residuos Sólidos Urbanos en América Latina y el Caribe 2010""]. Inter-American Development Bank (IDB), Inter-American Association of Sanitary and Environmental Engineering [Asociación Interamericana de Ingeniería Sanitaria y Ambiental (AIDIS)], and Pan American Health Organization (PAHO) [Organización Panamericana de la Salud (OPS)]."
BMU,NAC,Bermuda,HIC,80982.3671875,17.0,9.0,6.0,26.0,29.0,13.0,Yes,Yes,Yes,No,64798,,525.0,82000.0,2.0,waste_treatment_compost_percent,tonnes/year,2012.0,"UNSD (United Nations Statistics Division). 2016b. ""Environmental Indicators: Waste. Municipal Waste Treated."" United Nations Statistics Division (UNSD), United Nations. November. http://unstats.un.org/unsd/ENVIRONMENT/qindicators.htm."
BOL,LCN,Bolivia,LMC,7984.41357421875,55.19691119691119,2.9034749034749034,2.501930501930502,22.702702702702705,6.501930501930501,10.193050193050194,Yes,Yes,Yes,No,10724705,35392.0,545183.0,2219052.0,12.11,waste_treatment_compost_percent,tonnes/year,2015.0,"Bolivia, MMAyA/VAPSB/DGGIRS. 2016. ""National Infrastructure Program for Solid Waste Management, 2017–2020"" [""Programa Nacional de Infraestructuras en Gestión Integral de Residuos Sólidos, 2017–2020""]. General Directorate of Integrated Solid Waste Management, Sub-Ministry of Potable Water and Basic Sanitation, Ministry of Environment and Water [Dirección General de Gestión Integral de Residuos Sólidos, Viceministerio de Agua Potable y Saneamiento Básico, Ministerio de Medio Ambiente y Agua], Government of Bolivia."
BRA,LCN,Brazil,UMC,14596.24609375,51.4,2.4,2.9,16.7,13.1,13.5,Yes,Yes,Yes,Yes,208494896,1411900.0,,79069584.0,1.4,waste_treatment_compost_percent,tonnes/year,2015.0,"Brazil SNIS (National Sanitation Information System). 2017. ""Diagnosis of Urban Solid Waste Management - 2015."" [SNIS (Sistema Nacional de Informações sobre Saneamento). 2017. ""Diagnóstico do Manejo de Resíduos Sólidos Urbanos – 2015""]. Ministry of Cities, National Secretariat of Environmental Sanitation [Ministério das Cidades, Secretaria Nacional de Saneamento Ambiental]."
BRB,LCN,Barbados,HIC,15444.74609375,18.3,3.7,4.9,5.7,19.7,17.1,No,Yes,No,No,280601,3800.0,9410.337,174815.44444444444,9.0,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2011.0,"Burnside. 2014. ""Preliminary Draft: Waste Characterization Report: Mangrove Pond Green Energy Complex."" R. J. Burnside International Limited for the Sanitation Service Authority, Government of Barbados. St. James, January."
BRN,EAS,Brunei Darussalam,HIC,60865.98828125,36.0,3.0,4.0,15.0,18.0,16.0,,Yes,Yes,Yes,423196,7700.0,,216253.156,,waste_treatment_compost_percent,tonnes/year,2014.0,"Shams. S., R. H. M. Juani and Z.Guo. 2014. ""Integrated and sustainable solid waste management for Brunei Darussalam."" DOI: 10.1049/cp.2014.1066. https://www.researchgate.net/publication/272042749_Integrated_and_sustainable_solid_waste_management_for_Brunei_Darussalam"
BTN,SAS,Bhutan,LMC,6743.01611328125,58.0,4.0,1.0,7.0,17.0,13.0,No,Yes,Yes,Yes,686958,1457.5,,111314.05,0.86,waste_treatment_compost_percent,tonnes/year,2016.0,"Bhutan, National Environment Commission. 2016. ""Bhutan State of Environment Report 2016."" ISBN # 978-99936-865-5-2."
BWA,SSF,Botswana,UMC,14126.3896484375,8.1,,0.1,91.9,,,,,,,2014866,16000.0,,210854.442618916,1.0,waste_collection_coverage_rural_percent_of_households,Percent of households,1998.0,"Kgathi, Donald L., and Benjamin Bolaane. 2001. ""Instrument for sustainable solid waste management in Botswana."" Waste Management and Research 19(4) 342-53."
CAF,SSF,Central African Republic,LIC,822.6104736328125,,,,,,,,,Yes,No,4515392,2700.0,,1105983.0,,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
CAN,NAC,Canada,HIC,47672.078125,24.0,6.0,13.0,8.0,47.0,3.0,Yes,Yes,Yes,Yes,35544564,724000.0,,25103034.0,20.590000000000003,special_waste_agricultural_waste_tons_year,tonnes/year,2006.0,"Canada, Statistics Canada. 2012. ""Human Activity and the Environment: Waste Management in Canada."" Catalogue no. 16-201-X. Ottawa, September."
CHE,ECS,Switzerland,HIC,68394.2890625,29.0,4.0,3.0,29.0,20.0,15.0,,Yes,Yes,,8574832,184000.0,1200000.0,6079556.0,32.0,waste_treatment_compost_percent,tonnes/year,2015.0,"OECD (Organisation for Economic Co-operation and Development). 2017. ""Municipal Waste (Indicator)."" OECD Data, Organisation for Economic Co-operation and Development (OECD). Accessed May 28, 2017. https://data.oecd.org/waste/municipal-waste.htm."
CHI,ECS,Channel Islands,HIC,46672.59375,,,,,,,,Yes,Yes,,164541,,,178933.0,28.43020231213873,waste_treatment_compost_percent,tonnes/year,2016.0,"States of Guernsey. 2017. ""Guernsey Facts and Figures 2017."" States of Guernsey Data and Analysis. https://www.gov.gg/CHttpHandler.ashx?id=110282andp=0"
CHL,LCN,Chile,HIC,20361.71484375,53.3,6.6,2.3,16.0,12.4,9.4,Yes,No,Yes,Yes,16829442,176000.0,249755.0,6517000.0,0.37,waste_treatment_compost_percent,tonnes/year,2009.0,"Chile, CONAMA (National Environmental Commission [Comisión Nacional de Medio Ambiente]). 2010. ""First Report on Solid Waste Management in Chile"" [""Primer Reporte del Manejo de Residuos Sólidos en Chile""]. National Environmental Commission [Comision Nacional de Medio Ambiente (CONAMA)], Government of Chile."
CHN,EAS,China,UMC,16092.30078125,61.2,2.1,1.1,13.1,9.6,9.8,,Yes,Yes,Yes,1400050048,7211000.0,34652400.0,395081376.0,,special_waste_agricultural_waste_tons_year,tonnes/year,2011.0,"Takeda, Nobou, Wei Wang and Masaki Takaoka, eds. 2014. Solid Waste Management, Urban Environment 3. Kyoto University Press."
CIV,SSF,Côte d’Ivoire,LMC,3660.90283203125,,,,,,,,Yes,Yes,Yes,20401332,22000.0,,4440814.27,3.0,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
CMR,SSF,Cameroon,LMC,3262.763671875,83.4,0.1,0.7,10.4,2.1,3.3,,,Yes,Yes,21655716,19000.0,8716.6,3270616.59,0.4,waste_collection_coverage_total_percent_of_waste,Percent of population,2009.0,"UNSD (United Nations Statistics Division). 2016a. ""Environmental Indicators: Waste. Municipal Waste Collected."" United Nations Statistics Division (UNSD), United Nations. November. http://unstats.un.org/unsd/ENVIRONMENT/qindicators.htm."
COD,SSF,"Congo, Dem. Rep.",LIC,1055.572998046875,,,,,,,,,Yes,No,78736152,,,14385226.02,4.9,waste_treatment_recycling_percent,tonnes/year,2005.0,"AFED (Arab Forum for Environment and Development). 2008. ""Arab Environment: Future Challenges. 2008 Report of the Arab Forum for Environment and Development."" Edited by Mostafa K. Tolba and Najib W. Saab."
COG,SSF,"Congo, Rep.",LMC,4899.57958984375,,,,,,,No,No,Yes,No,2648507,,,451200.0,26.2,waste_treatment_recycling_percent,tonnes/year,2005.0,"AFED (Arab Forum for Environment and Development). 2008. ""Arab Environment: Future Challenges. 2008 Report of the Arab Forum for Environment and Development."" Edited by Mostafa K. Tolba and Najib W. Saab."
COL,LCN,Colombia,UMC,12523.0068359375,59.58,2.35,1.1,15.74,8.4,12.83,Yes,,No,Yes,46406648,252200.0,270146.3,12150120.0,17.2,waste_collection_coverage_rural_percent_of_households,Percent of households,2014.0,"Colombia, Superintendence of Home Public Services. 2015. ""Sectoral Report of the Public Toilet Service Great Providers"". [REPÚBLICA DE COLOMBIA. Superintendencia de Servicios Públicos Domiciliarios. ""Informe Sectorial del Servicio Público de Aseo""]. "
COM,SSF,Comoros,LIC,2959.5400390625,50.0,2.0,4.0,22.0,7.0,5.0,,,Yes,,777424,600.0,,91013.0,,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
CPV,SSF,Cabo Verde,LMC,6353.783203125,,,,,,,Yes,Yes,Yes,,513979,2400.0,3548.92,132555.0,,waste_collection_coverage_total_percent_of_waste,Percent of population,2012.0,"UNSD (United Nations Statistics Division). 2016a. ""Environmental Indicators: Waste. Municipal Waste Collected."" United Nations Statistics Division (UNSD), United Nations. November. http://unstats.un.org/unsd/ENVIRONMENT/qindicators.htm."
CRI,LCN,Costa Rica,UMC,18168.71484375,58.0,1.0,2.0,7.0,21.0,11.0,,,Yes,No,4757575,35800.0,,1460000.0,1.26,special_waste_construction_and_demolition_waste_tons_year,tonnes/year,2008.0,"UICN (International Union for the Conservation of Nature and Natural Resources). 2011. ""Debris and other construction waste management guide."" [UICN (Unión Internacional para la Conservación de la Naturaleza y de los Recursos Naturales ). 2011. ""Guía de manejo de escombros y otros residuos de la construcción""]. UICN, Oficina Regional para Mesoamérica y la Iniciativa Caribe. San José."
CUB,LCN,Cuba,UMC,12984.7109375,68.9,4.6,1.6,3.0,12.3,9.6,No,No,No,Yes,11303687,,565216.0,2692691.98,9.49,waste_treatment_controlled_landfill_percent,tonnes/year,2015.0,"Cuba, ONEI (National Office of Statistics and Information [Oficina Nacional de Estadística e Información]). 2017. ""Catalogue of Publications."" /// Rebelde, Juventud. 2007. ""The 100th Street Landfill"" [""El Vertedero de la Calle 100""]. July 8. /// Anon. n.d.(g). Joint study by representatives of the following organizations: Departamento de Estudios sobre Contaminación Ambiental (DECA), Centro Nacional de Investigaciones Científicas (CNIC), Consultoría de Ingeniería y Arquitectura (CETA), Centro de Estudios de Ingeniería de Procesos (CIPRO), Instituto Superior Politécnico ‘‘José Antonio Echeverría’’ (ISPJAE, CUJAE), Laboratorio de Análisis de Residuos (LARE), Dirección Provincial de Servicios Comunales, Ministerio de Economía y Planificación Estimated Entries to Campo Florido. Cited in Periodísmo de Barrio article, but original source unknown."
CUW,LCN,Curacao,HIC,27503.7890625,,,,,,,,Yes,Yes,,153822,,,24703.813200000004,2.0,waste_treatment_recycling_percent,tonnes/year,2013.0,"PricewaterhouseCoopers Aruba. 2014. ""Environmental Sustainability Ranking: Determining and Fortifying Aruba’s Position in the Caribbean."" Version 1.1. PricewaterhouseCoopers Aruba. October 28. https://www.pwc.com/an/en/publications/assets/pwc-environmental-sustainability-ranking-positioning-and-fortifying-aruba-in-caribbean.pdf."
CYM,LCN,Cayman Islands,HIC,66207.4453125,10.9,3.5,6.2,11.4,31.1,11.0,,Yes,Yes,,59172,,,60000.0,21.0,composition_food_organic_waste_percent,%,2003.0,"Amec Foster Wheeler. 2016. ""National Solid Waste Management Strategy for the Cayman Islands: Final Report."" Amec Foster Wheeler Environment and Infrastructure UK Limited, for the Government of Cayman Islands. June. http://ministryofhealth.gov.ky/sites/default/files/36082%20Strategy%20Final%20Report%2016229i1.pdf."
CYP,ECS,Cyprus,HIC,39544.68359375,41.47,2.66,3.25,10.07,25.7,14.77,Yes,Yes,Yes,No,1198575,18137.0,173377.0,769485.125,13.31,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
CZE,ECS,Czech Republic,HIC,40836.328125,62.3,2.4,8.4,14.899999999999997,9.1,2.2,,Yes,Yes,Yes,10669709,79581.0,1162342.0,5334854.5,25.5,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
DEU,ECS,Germany,HIC,53784.78125,30.0,10.0,1.4,17.7,24.0,13.0,,Yes,Yes,Yes,83132800,2465085.0,21812660.0,50627876.0,47.83,special_waste_agricultural_waste_tons_year,tonnes/year,2014.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
DJI,MEA,Djibouti,LMC,6596.775390625,,,,,,,,,,,746221,900.0,,114997.24900398408,,special_waste_e_waste_tons_year,tonnes/year,2016.0,"Baldé, C.P., Forti V., Gray, V., Kuehr, R., Stegmann, P. 2017. ""The Global E-waste Monitor 2017- Quantities, Flows, and Resources."" United Nations University (UNU), International Telecommunication Union (ITU) and International Solid Waste Association (ISWA), Bonn/Geneva/Vienna. ISBN Printed Version: 978-92-808-9053-2. ISBN Electronic Version: 978-92-808-9054-9. ISSN 2522-7033."
DMA,LCN,Dominica,UMC,11708.6396484375,45.0,8.0,5.0,14.0,12.0,16.0,Yes,Yes,Yes,No,72400,,627.0,13176.0,,waste_treatment_controlled_landfill_percent,tonnes/year,2005.0,"UNSD (United Nations Statistics Division). 2013. ""Dominica Environment Statistics Country Snapshot."" February."
DNK,ECS,Denmark,HIC,57821.19921875,12.78,5.78,6.29,23.86,11.57,1.61,Yes,Yes,Yes,Yes,5818553,168614.0,1718394.0,4910858.5,27.27,special_waste_agricultural_waste_tons_year,tonnes/year,2015.0,"Eurostat. 2017a. ""Generation of waste by waste category, hazardousness and NACE Rev. 2 activity [env_wasgen]."""
